                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                 1.5151,                0.94603,                 1.9441,                 0.9981,                0.92537,                0.97791,                 0.5743,                 1.3631,                0.98599,                 1.9905,              0.0003764,              0.0003764,              0.0003764
                     85,                 1.4945,                0.90086,                 1.9603,                      1,                0.93498,                 0.9819,                0.58002,                 1.3201,                0.89841,                  1.942,              0.0003566,              0.0003566,              0.0003566
                     86,                 1.5471,                0.93633,                 1.9588,                      1,                0.93593,                 0.9848,                0.58941,                 1.2939,                0.86644,                 1.9393,              0.0003368,              0.0003368,              0.0003368
                     87,                 1.3745,                0.84888,                 1.8848,                      1,                0.93475,                0.98699,                0.60234,                 1.2856,                0.86091,                 1.9351,               0.000317,               0.000317,               0.000317
                     88,                 1.5251,                0.89861,                 1.9212,                 0.9788,                 0.9403,                0.98613,                 0.6091,                 1.3007,                0.91143,                 1.9402,              0.0002972,              0.0002972,              0.0002972
                     89,                 1.4723,                0.86797,                 1.8704,                0.98422,                0.93083,                0.98534,                 0.5857,                 1.3566,                 0.9266,                 1.9523,              0.0002774,              0.0002774,              0.0002774
                     90,                 1.5058,                0.84618,                 1.8858,                0.98251,                0.95522,                0.98631,                 0.6001,                 1.3415,                0.89872,                 1.9542,              0.0002576,              0.0002576,              0.0002576
                     91,                 1.4132,                0.93428,                 1.9896,                0.99324,                 0.9403,                0.98737,                 0.5823,                 1.3418,                0.88715,                 1.9577,              0.0002378,              0.0002378,              0.0002378
                     92,                 1.4053,                0.92112,                 2.0198,                0.96832,                0.95522,                0.98911,                0.56246,                 1.3487,                0.88181,                 1.9786,               0.000218,               0.000218,               0.000218
                     93,                   1.43,                 0.8457,                 1.9208,                 0.9682,                0.97015,                0.99129,                 0.5849,                 1.3443,                0.88244,                 1.9824,              0.0001982,              0.0001982,              0.0001982
                     94,                 1.3792,                0.85803,                 1.9647,                0.98337,                0.97015,                0.99184,                0.60497,                 1.3439,                0.87876,                   1.97,              0.0001784,              0.0001784,              0.0001784
                     95,                 1.3705,                0.87055,                  1.979,                0.98479,                0.96653,                0.99098,                0.60222,                 1.3603,                0.88041,                 1.9686,              0.0001586,              0.0001586,              0.0001586
                     96,                 1.3702,                0.84054,                 1.9318,                0.97926,                0.95522,                0.98914,                0.60056,                 1.3739,                0.88037,                 1.9602,              0.0001388,              0.0001388,              0.0001388
                     97,                 1.3857,                0.86437,                 1.9473,                0.98457,                0.95262,                0.98872,                0.58721,                 1.3629,                0.87262,                 1.9567,               0.000119,               0.000119,               0.000119
                     98,                 1.3571,                0.85539,                 1.8969,                0.99903,                0.92537,                0.98731,                0.58685,                  1.354,                0.89039,                   1.96,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                 1.3445,                0.85361,                 1.9608,                0.99837,                0.92537,                0.98665,                0.57292,                 1.3512,                0.89757,                 1.9598,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                 1.3346,                0.82741,                 1.8861,                0.99736,                0.92537,                0.98556,                0.57493,                 1.3388,                0.91336,                 1.9551,               5.96e-05,               5.96e-05,               5.96e-05
